Title,Distributor,Release Date,US Sales,World Sales,Runtime,Rating
Bridesmaids,Universal Pictures,2011,169106725,288383523,2 hr 5 min,R
Quantum of Solace,Sony Pictures Entertainment (SPE),2008,168368427,589580482,1 hr 46 min,PG-13
Wild Hogs,Walt Disney Studios Motion Pictures,2007,168273550,253625427,1 hr 40 min,NA
Kong: Skull Island,Warner Bros.,2017,168052812,566652812,1 hr 58 min,PG-13
Three Men and a Baby,Walt Disney Studios Motion Pictures,1987,167780960,167780960,1 hr 42 min,NA
Gone Girl,Twentieth Century Fox,2014,167767189,369330363,2 hr 29 min,R
Hotel Transylvania 3: Summer Vacation,Sony Pictures Entertainment (SPE),2018,167510016,528583774,1 hr 37 min,PG
Casino Royale,Sony Pictures Entertainment (SPE),2006,167445960,616502912,2 hr 24 min,PG-13
Meet the Parents,Universal Pictures,2000,166244045,330444045,1 hr 48 min,PG-13
Fifty Shades of Grey,Universal Pictures,2015,166167230,569651467,2 hr 5 min,R
2012,Sony Pictures Entertainment (SPE),2009,166112167,791217826,2 hr 38 min,PG-13
Robin Hood: Prince of Thieves,Warner Bros.,1991,165493908,390493908,2 hr 23 min,NA
Knives Out,Lionsgate,2019,165363234,311605581,2 hr 10 min,PG-13
Kung Fu Panda 2,DreamWorks,2011,165249063,665692281,1 hr 30 min,PG
Hannibal,Metro-Goldwyn-Mayer (MGM),2001,165092268,351692268,2 hr 11 min,R
Eternals,Walt Disney Studios Motion Pictures,2021,164819595,401847482,2 hr 36 min,NA
Catch Me If You Can,DreamWorks Distribution,2002,164615351,352114312,2 hr 21 min,PG-13
The Proposal,Walt Disney Studios Motion Pictures,2009,163958031,317375031,1 hr 48 min,PG-13
The Pursuit of Happyness,Sony Pictures Entertainment (SPE),2006,163566459,307127625,1 hr 57 min,PG-13
Big Daddy,Sony Pictures Entertainment (SPE),1999,163479795,234801895,1 hr 33 min,PG-13
Clash of the Titans,Warner Bros.,2010,163214888,493214993,1 hr 46 min,PG-13
The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,2015,162994032,325186032,1 hr 32 min,PG
Batman Returns,Warner Bros.,1992,162902340,266892996,2 hr 6 min,PG-13
Django Unchained,The Weinstein Company,2012,162805434,426074373,2 hr 45 min,R
A Bug's Life,Walt Disney Studios Motion Pictures,1998,162798565,363258859,1 hr 35 min,NA
Jason Bourne,Universal Pictures,2016,162434410,415484914,2 hr 3 min,PG-13
Grown Ups,Sony Pictures Entertainment (SPE),2010,162001186,271457301,1 hr 42 min,PG-13
The Waterboy,Walt Disney Studios Motion Pictures,1998,161491646,185991646,1 hr 30 min,PG-13
Ice Age: Continental Drift,Twentieth Century Fox,2012,161321843,877244782,1 hr 28 min,PG
Straight Outta Compton,Universal Pictures,2015,161197785,201634991,2 hr 27 min,R
Die Another Day,Metro-Goldwyn-Mayer (MGM),2002,160942139,431971116,2 hr 13 min,PG-13
Shark Tale,DreamWorks Distribution,2004,160861908,374583879,1 hr 30 min,PG
How to Train Your Dragon: The Hidden World,Universal Pictures,2019,160799505,524389083,1 hr 44 min,PG
No Time to Die,Metro-Goldwyn-Mayer (MGM),2021,160772007,774034007,2 hr 43 min,NA
A Quiet Place Part II,Paramount Pictures,2020,160072261,297372261,1 hr 37 min,NA
The Heat,Twentieth Century Fox,2013,159582188,229930771,1 hr 57 min,R
Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,2018,159555901,654855901,2 hr 14 min,PG-13
Halloween,Universal Pictures,2018,159342015,255614941,1 hr 46 min,R
1917,Universal Pictures,2019,159227644,384919389,1 hr 59 min,R
The Secret Life of Pets 2,Universal Pictures,2019,158874395,430051293,1 hr 26 min,PG
Star Trek Beyond,Paramount Pictures,2016,158848340,343471816,2 hr 2 min,PG-13
The Firm,Paramount Pictures,1993,158348367,270248367,2 hr 34 min,NA
The Longest Yard,Paramount Pictures,2005,158119460,191466556,1 hr 53 min,PG-13
X-Men,Twentieth Century Fox,2000,157299718,296339528,1 hr 44 min,PG-13
Scary Movie,Miramax,2000,157019771,278019771,1 hr 28 min,R
Who Framed Roger Rabbit,Walt Disney Studios Motion Pictures,1988,156452370,329803958,1 hr 44 min,NA
What Lies Beneath,DreamWorks Distribution,2000,155464351,291420351,2 hr 10 min,PG-13
X-Men: Apocalypse,Twentieth Century Fox,2016,155442489,543934105,2 hr 24 min,PG-13
The Mummy,Universal Pictures,1999,155385488,415933406,2 hr 4 min,PG-13
Snow White and the Huntsman,Universal Pictures,2012,155332381,396592829,2 hr 7 min,PG-13
San Andreas,Warner Bros.,2015,155190832,474009154,1 hr 54 min,PG-13
Fast & Furious,Universal Pictures,2009,155064265,360366870,1 hr 47 min,PG-13
Over the Hedge,DreamWorks,2006,155019340,339795890,1 hr 23 min,NA
Fantastic Four,Twentieth Century Fox,2005,154696080,333535934,1 hr 46 min,PG-13
Horton Hears a Who!,Twentieth Century Fox,2008,154529439,298572799,1 hr 26 min,NA
Mad Max: Fury Road,Warner Bros.,2015,154058340,375658750,2 hr,R
Jerry Maguire,Sony Pictures Entertainment (SPE),1996,153952592,273552592,2 hr 19 min,R
Trolls,Twentieth Century Fox,2016,153707064,346864886,1 hr 32 min,PG
Scooby-Doo,Warner Bros.,2002,153294164,275650703,1 hr 29 min,PG
Cars 3,Walt Disney Studios Motion Pictures,2017,152901115,383930656,1 hr 42 min,NA
Sex and the City,Warner Bros.,2008,152647258,418765519,2 hr 25 min,R
Runaway Bride,Paramount Pictures,1999,152257509,309460292,1 hr 56 min,PG
La La Land,Lionsgate,2016,151101803,448906865,2 hr 8 min,PG-13
Divergent,Lionsgate,2014,150947895,288885818,2 hr 19 min,PG-13
We're the Millers,Warner Bros.,2013,150394119,269994119,1 hr 50 min,R
Terminator 3: Rise of the Machines,Warner Bros.,2003,150371112,433371112,1 hr 49 min,R
Daddy's Home,Paramount Pictures,2015,150357137,242786137,1 hr 36 min,NA
G.I. Joe: The Rise of Cobra,Paramount Pictures,2009,150201498,302469017,1 hr 58 min,PG-13
Neighbors,Universal Pictures,2014,150157400,270665134,1 hr 37 min,R
American Hustle,Sony Pictures Entertainment (SPE),2013,150117807,251171807,2 hr 18 min,R
Puss in Boots,DreamWorks,2011,149260504,554987477,1 hr 30 min,PG
Sonic the Hedgehog,Paramount Pictures,2020,148974665,319715683,1 hr 39 min,PG
Les Misérables,Universal Pictures,2012,148809770,442299309,2 hr 38 min,PG-13
Knocked Up,Universal Pictures,2007,148768917,219922417,2 hr 9 min,R
As Good as It Gets,Sony Pictures Entertainment (SPE),1997,148478011,314178011,2 hr 19 min,PG-13
Little Fockers,Universal Pictures,2010,148438600,310650585,1 hr 38 min,PG-13
Megamind,DreamWorks,2010,148415853,321885765,1 hr 35 min,PG
Hotel Transylvania,Sony Pictures Entertainment (SPE),2012,148313048,358375603,1 hr 31 min,PG
Talladega Nights: The Ballad of Ricky Bobby,Sony Pictures Entertainment (SPE),2006,148213377,163362095,1 hr 48 min,PG-13
Gran Torino,Warner Bros.,2008,148095302,269958228,1 hr 56 min,R
Lethal Weapon 2,Warner Bros.,1989,147253986,227853986,1 hr 54 min,NA
War for the Planet of the Apes,Twentieth Century Fox,2017,146880162,490719763,2 hr 20 min,PG-13
X-Men: First Class,Twentieth Century Fox,2011,146408305,352616690,2 hr 11 min,PG-13
Paul Blart: Mall Cop,Sony Pictures Entertainment (SPE),2009,146336178,183348429,1 hr 31 min,PG
True Lies,Twentieth Century Fox,1994,146282411,378882411,2 hr 21 min,R
Lilo & Stitch,Walt Disney Studios Motion Pictures,2002,145794338,273144151,1 hr 25 min,PG
The Santa Clause,Walt Disney Studios Motion Pictures,1994,145539357,190539357,1 hr 37 min,PG
The Meg,Warner Bros.,2018,145443742,530438278,1 hr 53 min,PG-13
American Pie 2,Universal Pictures,2001,145103595,287553595,1 hr 48 min,R
Taken,Twentieth Century Fox,2008,145000989,226837760,1 hr 30 min,PG-13
The Great Gatsby,Warner Bros.,2013,144840419,353642274,2 hr 23 min,PG-13
"I, Robot",Twentieth Century Fox,2004,144801023,353133898,1 hr 55 min,PG-13
Lethal Weapon 3,Warner Bros.,1992,144731527,321731527,1 hr 58 min,R
The Fast and the Furious,Universal Pictures,2001,144533925,207305509,1 hr 46 min,PG-13
Mamma Mia!,Universal Pictures,2008,144169664,611257819,1 hr 48 min,PG-13
Doctor Dolittle,Twentieth Century Fox,1998,144156605,294456605,1 hr 25 min,NA
Pokémon Detective Pikachu,Warner Bros.,2019,144105346,433514834,1 hr 44 min,PG
Rio,Twentieth Century Fox,2011,143619809,483866518,1 hr 36 min,PG
Kung Fu Panda 3,Twentieth Century Fox,2016,143528619,521170825,1 hr 35 min,PG
Juno,Fox Searchlight Pictures,2007,143495265,232372681,1 hr 36 min,PG-13
Marley & Me,Twentieth Century Fox,2008,143153751,255743093,1 hr 51 min,NA
The Smurfs,Sony Pictures Entertainment (SPE),2011,142614158,563749323,1 hr 43 min,PG
Once Upon a Time... In Hollywood,Sony Pictures Entertainment (SPE),2019,142502728,374565754,2 hr 41 min,R
xXx,Revolution Studios,2002,142109382,277448382,2 hr 4 min,PG-13
The Chronicles of Narnia: Prince Caspian,Walt Disney Studios Motion Pictures,2008,141621490,419665568,2 hr 30 min,PG
Pocahontas,Walt Disney Studios Motion Pictures,1995,141579773,346079773,1 hr 21 min,NA
A Few Good Men,Columbia Pictures,1992,141340178,243240178,2 hr 18 min,R
Slumdog Millionaire,Fox Searchlight Pictures,2008,141319928,378410542,2 hr,R
Rush Hour,New Line Cinema,1998,141186864,244721064,1 hr 38 min,PG-13
The Blair Witch Project,Artisan Entertainment,1999,140539099,248639099,1 hr 21 min,R
Deep Impact,Paramount Pictures,1998,140464664,349464664,2 hr,NA
Shazam!,Warner Bros.,2019,140371656,365971656,2 hr 12 min,PG-13
Ocean's Eight,Warner Bros.,2018,140218711,297718711,1 hr 50 min,PG-13
Rush Hour 3,New Line Cinema,2007,140125968,258097122,1 hr 31 min,PG-13
Stuart Little,Sony Pictures Entertainment (SPE),1999,140035367,300135367,1 hr 24 min,PG
Taken 2,Twentieth Century Fox,2012,139854287,376152455,1 hr 32 min,PG-13
Sister Act,Walt Disney Studios Motion Pictures,1992,139605150,231605150,1 hr 40 min,NA
The Matrix Revolutions,Warner Bros.,2003,139313948,427344325,2 hr 9 min,R
The Santa Clause 2,Walt Disney Studios Motion Pictures,2002,139236327,172855065,1 hr 44 min,NA
The King's Speech,The Weinstein Company,2010,138797449,427374317,1 hr 58 min,R
Cheaper by the Dozen,Twentieth Century Fox,2003,138614544,190538630,1 hr 38 min,PG
Bad Boys II,Sony Pictures Entertainment (SPE),2003,138608444,273339556,2 hr 27 min,R
Platoon,Orion Pictures,1986,138530565,138545632,2 hr,NA
21 Jump Street,Sony Pictures Entertainment (SPE),2012,138447667,201585328,1 hr 49 min,R
Good Will Hunting,Miramax,1997,138433435,225933435,2 hr 6 min,NA
Split,Universal Pictures,2016,138291365,278454417,1 hr 57 min,PG-13
A Christmas Carol,Walt Disney Studios Motion Pictures,2009,137855863,325286646,1 hr 36 min,PG
Dinosaur,Walt Disney Studios Motion Pictures,2000,137748063,349822765,1 hr 22 min,PG
Ready Player One,Warner Bros.,2018,137690172,582893671,2 hr 20 min,PG-13
The Conjuring,Warner Bros.,2013,137400141,320290989,1 hr 52 min,R
Click,Revolution Studios,2006,137355633,240685326,1 hr 47 min,PG-13
The Green Mile,Warner Bros.,1999,136801374,286801374,3 hr 9 min,R
Ransom,Walt Disney Studios Motion Pictures,1996,136492681,309492681,2 hr 1 min,NA
Godzilla,Sony Pictures Entertainment (SPE),1998,136314294,379014294,2 hr 19 min,PG-13
Argo,Warner Bros.,2012,136025503,232325503,2 hr,R
Anger Management,Revolution Studios,2003,135645823,195745823,1 hr 46 min,PG-13
Chicken Little,Walt Disney Studios Motion Pictures,2005,135386665,314432837,1 hr 21 min,G
Teenage Mutant Ninja Turtles,New Line Cinema,1990,135265915,201965915,1 hr 33 min,NA
Patch Adams,Universal Pictures,1998,135026902,202292902,1 hr 55 min,PG-13
The Godfather,Paramount Pictures,1972,134966411,246120986,2 hr 55 min,NA
Ride Along,Universal Pictures,2014,134938200,154468902,1 hr 39 min,PG-13
The Incredible Hulk,Universal Pictures,2008,134806913,264770996,1 hr 52 min,PG-13
Live Free or Die Hard,Twentieth Century Fox,2007,134529403,388156011,2 hr 8 min,PG-13
Wanted,Universal Pictures,2008,134508551,342463063,1 hr 50 min,R
Identity Thief,Universal Pictures,2013,134506920,173965010,1 hr 51 min,R
Superman,Warner Bros.,1978,134451603,300451603,2 hr 23 min,PG
The Rock,Walt Disney Studios Motion Pictures,1996,134069511,335062621,2 hr 16 min,R
Mission: Impossible III,Paramount Pictures,2006,134029801,398479497,2 hr 6 min,PG-13
Grown Ups 2,Sony Pictures Entertainment (SPE),2013,133668525,246984278,1 hr 41 min,PG-13
Troy,Warner Bros.,2004,133378256,497409852,2 hr 43 min,R
Angels & Demons,Sony Pictures Entertainment (SPE),2009,133375846,485930816,2 hr 18 min,PG-13
Alvin and the Chipmunks: Chipwrecked,Twentieth Century Fox,2011,133110742,342695435,1 hr 27 min,G
Bringing Down the House,Walt Disney Studios Motion Pictures,2003,132716677,164729679,1 hr 45 min,PG-13
The Wolverine,Twentieth Century Fox,2013,132556852,414828246,2 hr 6 min,PG-13
Wonder,Lionsgate,2017,132422809,306209289,1 hr 53 min,NA
The Departed,Warner Bros.,2006,132384315,291465373,2 hr 31 min,R
Hulk,Universal Pictures,2003,132177234,245285165,2 hr 18 min,PG-13
Silver Linings Playbook,The Weinstein Company,2012,132092958,236412453,2 hr 2 min,R
Minority Report,Twentieth Century Fox,2002,132072926,358372926,2 hr 25 min,PG-13
Fantastic 4: Rise of the Silver Surfer,Twentieth Century Fox,2007,131921738,301913131,1 hr 32 min,PG
The Last Airbender,Paramount Pictures,2010,131772187,319713881,1 hr 43 min,PG
Rio 2,Twentieth Century Fox,2014,131538435,498781117,1 hr 41 min,G
Lara Croft: Tomb Raider,Paramount Pictures,2001,131168070,274703340,1 hr 40 min,PG-13
The Silence of the Lambs,Orion Pictures,1991,130742922,272742922,1 hr 58 min,NA
The Flintstones,Universal Pictures,1994,130531208,341631208,1 hr 31 min,PG
Lethal Weapon 4,Warner Bros.,1998,130444603,285444603,2 hr 7 min,R
Get Smart,Warner Bros.,2008,130319208,230685453,1 hr 50 min,PG-13
The Divergent Series: Insurgent,Lionsgate,2015,130179072,297002527,1 hr 59 min,PG-13
The Peanuts Movie,Twentieth Century Fox,2015,130178411,246233113,1 hr 28 min,G
Transformers: The Last Knight,Paramount Pictures,2017,130168683,605425157,2 hr 34 min,PG-13
American Gangster,Universal Pictures,2007,130164645,269755430,2 hr 37 min,R
American Beauty,DreamWorks Distribution,1999,130096601,356296601,2 hr 2 min,R
The Ring,DreamWorks Distribution,2002,129128133,249348933,1 hr 55 min,PG-13
The Nutty Professor,Universal Pictures,1996,128814019,273961019,1 hr 35 min,PG-13
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Twentieth Century Fox,2006,128505958,262552893,1 hr 24 min,R
Ghostbusters,Sony Pictures Entertainment (SPE),2016,128350574,229147509,1 hr 57 min,PG-13
Kingsman: The Secret Service,Twentieth Century Fox,2014,128261724,414351546,2 hr 9 min,R
Robots,Twentieth Century Fox,2005,128200012,262511490,1 hr 31 min,PG
"Crouching Tiger, Hidden Dragon",Sony Pictures Classics,2000,128078872,213525736,2 hr,PG-13
Shutter Island,Paramount Pictures,2010,128012934,294805697,2 hr 18 min,R
Into the Woods,Walt Disney Studios Motion Pictures,2014,128002372,212902372,2 hr 5 min,PG
Rocky IV,United Artists,1985,127873716,300473716,1 hr 31 min,NA
Enchanted,Walt Disney Studios Motion Pictures,2007,127807262,340487836,1 hr 47 min,PG
The Curious Case of Benjamin Button,Paramount Pictures,2008,127509326,335802786,2 hr 46 min,PG-13
Central Intelligence,Warner Bros.,2016,127440871,216972543,1 hr 47 min,PG-13
Anchorman 2: The Legend Continues,Paramount Pictures,2013,127352707,173649931,1 hr 59 min,PG-13
Sweet Home Alabama,Walt Disney Studios Motion Pictures,2002,127223418,180622424,1 hr 48 min,PG-13
Bumblebee,Paramount Pictures,2018,127195589,467989645,1 hr 54 min,PG-13
Dumb and Dumber,New Line Cinema,1994,127175374,247275374,1 hr 47 min,NA
2 Fast 2 Furious,Universal Pictures,2003,127154901,236350661,1 hr 47 min,PG-13
My Best Friend's Wedding,Sony Pictures Entertainment (SPE),1997,127120029,299288605,1 hr 45 min,PG-13
Super 8,Paramount Pictures,2011,127004179,260095986,1 hr 52 min,PG-13
The World Is Not Enough,Metro-Goldwyn-Mayer (MGM),1999,126943684,361832400,2 hr 8 min,PG-13
Sleepless in Seattle,TriStar Pictures,1993,126808165,227927165,1 hr 45 min,PG
Lucy,Universal Pictures,2014,126663600,458863600,1 hr 29 min,R
The Legend of Tarzan,Warner Bros.,2016,126643061,356700357,1 hr 50 min,PG-13
Bee Movie,DreamWorks,2007,126631277,293514336,1 hr 31 min,PG
Prometheus,Twentieth Century Fox,2012,126477084,403354469,2 hr 4 min,R
Safe House,Universal Pictures,2012,126373434,208076205,1 hr 55 min,R
Mr. Deeds,Sony Pictures Entertainment (SPE),2002,126293452,171269535,1 hr 36 min,PG-13
The Truman Show,Paramount Pictures,1998,125618201,264118201,1 hr 43 min,NA
Erin Brockovich,Universal Pictures,2000,125595205,256271286,2 hr 11 min,R
Ocean's Twelve,Warner Bros.,2004,125544280,362744280,2 hr 5 min,PG-13
Terminator Salvation,Warner Bros.,2009,125322469,371353001,1 hr 55 min,PG-13
Charlie's Angels,Sony Pictures Entertainment (SPE),2000,125305545,264105545,1 hr 38 min,PG-13
Tomorrow Never Dies,Metro-Goldwyn-Mayer (MGM),1997,125304276,333011068,1 hr 59 min,NA
Ghostbusters: Afterlife,Sony Pictures Entertainment (SPE),2021,125278330,191378330,2 hr 4 min,NA
Lone Survivor,Universal Pictures,2013,125095601,154802912,2 hr 1 min,R
Sully,Warner Bros.,2016,125070033,240797623,1 hr 36 min,PG-13
The Vow,Screen Gems,2012,125014030,196114570,1 hr 44 min,PG-13
Life of Pi,Twentieth Century Fox,2012,124987023,609016565,2 hr 7 min,PG
The Fault in Our Stars,Twentieth Century Fox,2014,124872350,307166834,2 hr 6 min,PG-13
Cloudy with a Chance of Meatballs,Sony Pictures Entertainment (SPE),2009,124870275,243006126,1 hr 30 min,PG
The Devil Wears Prada,Twentieth Century Fox,2006,124740460,326706115,1 hr 49 min,PG-13
Something's Gotta Give,Sony Pictures Entertainment (SPE),2003,124728738,265328738,2 hr 8 min,PG-13
Traffic,USA Films,2000,124115725,207515725,2 hr 27 min,NA
The Birdcage,Metro-Goldwyn-Mayer (MGM),1996,124060553,185260553,1 hr 57 min,NA
City Slickers,Columbia Pictures,1991,124033791,179033791,1 hr 53 min,NA
Rango,Paramount Pictures,2011,123477607,245724603,1 hr 47 min,PG
Nutty Professor II: The Klumps,Universal Pictures,2000,123309890,166339890,1 hr 46 min,PG-13
The Good Dinosaur,Walt Disney Studios Motion Pictures,2015,123087120,332207671,1 hr 33 min,NA
G.I. Joe: Retaliation,Paramount Pictures,2013,122523060,375740705,1 hr 50 min,PG-13
Clear and Present Danger,Paramount Pictures,1994,122187717,215887717,2 hr 21 min,PG-13
The Hunt for Red October,Paramount Pictures,1990,122012643,200512643,2 hr 15 min,NA
The Bodyguard,Warner Bros.,1992,122006740,411006740,2 hr 9 min,NA
Wayne's World,Paramount Pictures,1992,121697323,183097323,1 hr 34 min,PG-13
The Bourne Identity,Universal Pictures,2002,121661683,214034224,1 hr 59 min,PG-13
Free Guy,20th Century Studios,2021,121626598,331503757,1 hr 55 min,NA
Superbad,Sony Pictures Entertainment (SPE),2007,121463226,170812526,1 hr 53 min,R
Speed,Twentieth Century Fox,1994,121248145,350448145,1 hr 56 min,R
50 First Dates,Sony Pictures Entertainment (SPE),2004,120908074,198520934,1 hr 39 min,PG-13
Mamma Mia! Here We Go Again,Universal Pictures,2018,120634935,402254384,1 hr 54 min,PG-13
Inglourious Basterds,The Weinstein Company,2009,120540719,321457747,2 hr 33 min,R
Seabiscuit,Universal Pictures,2003,120277854,148336445,2 hr 20 min,PG-13
Van Helsing,Universal Pictures,2004,120177084,300157638,2 hr 11 min,PG-13
Four Christmases,Warner Bros.,2008,120146040,164112721,1 hr 28 min,PG-13
I Now Pronounce You Chuck & Larry,Universal Pictures,2007,120059556,187134117,1 hr 55 min,PG-13
The Mask,New Line Cinema,1994,119938730,351583407,1 hr 41 min,PG-13
Cloudy with a Chance of Meatballs 2,Sony Pictures Entertainment (SPE),2013,119793567,274325949,1 hr 35 min,PG
Hook,TriStar Pictures,1991,119654823,300854823,2 hr 22 min,NA
Walk the Line,Twentieth Century Fox,2005,119519402,186797986,2 hr 16 min,PG-13
G-Force,Walt Disney Studios Motion Pictures,2009,119436770,292817898,1 hr 28 min,PG
Total Recall,Sony Pictures Entertainment (SPE),1990,119412921,261317921,1 hr 53 min,NA
The Other Guys,Sony Pictures Entertainment (SPE),2010,119219978,170458922,1 hr 47 min,PG-13
Fahrenheit 9/11,Lionsgate,2004,119194771,222446882,2 hr 2 min,R
Back to the Future Part II,Universal Pictures,1989,119000002,332500002,1 hr 48 min,NA
The Sum of All Fears,Paramount Pictures,2002,118907036,193921372,2 hr 4 min,PG-13
Hairspray,New Line Cinema,2007,118871849,203553311,1 hr 57 min,NA
The Break-Up,Universal Pictures,2006,118703275,205668210,1 hr 46 min,PG-13
A Series of Unfortunate Events,Paramount Pictures,2004,118634549,211468235,1 hr 48 min,PG
Blades of Glory,DreamWorks,2007,118594548,145710347,1 hr 33 min,PG-13
Salt,Sony Pictures Entertainment (SPE),2010,118311368,293503354,1 hr 40 min,PG-13
Basic Instinct,TriStar Pictures,1992,117727224,352927224,2 hr 7 min,R
Now You See Me,Lionsgate,2013,117723989,351723989,1 hr 55 min,PG-13
Ford v Ferrari,Twentieth Century Fox,2019,117624357,225508210,2 hr 32 min,PG-13
Big Momma's House,Twentieth Century Fox,2000,117559438,173959438,1 hr 39 min,PG-13
Die Hard 2,Twentieth Century Fox,1990,117540947,240031274,2 hr 4 min,NA
Horrible Bosses,Warner Bros.,2011,117538559,209838559,1 hr 38 min,R
The Nun,Warner Bros.,2018,117450119,365551694,1 hr 36 min,R
Jackass 3D,Paramount Pictures,2010,117229692,171685792,1 hr 35 min,R
Ocean's Thirteen,Warner Bros.,2007,117154724,311312624,2 hr 2 min,NA
Jungle Cruise,Walt Disney Studios Motion Pictures,2021,116987516,220889446,2 hr 7 min,NA
S.W.A.T.,Sony Pictures Entertainment (SPE),2003,116934650,207725639,1 hr 57 min,PG-13
The Wolf of Wall Street,Paramount Pictures,2013,116900694,392000694,3 hr,R
8 Mile,Universal Pictures,2002,116750901,242875078,1 hr 50 min,R
Double Jeopardy,Paramount Pictures,1999,116741558,177841558,1 hr 45 min,R
Lee Daniels' The Butler,The Weinstein Company,2013,116632095,177313795,2 hr 12 min,PG-13
Green Lantern,Warner Bros.,2011,116601172,219851172,1 hr 54 min,PG-13
Notting Hill,Universal Pictures,1999,116089678,363889678,2 hr 4 min,PG-13
You've Got Mail,Warner Bros.,1998,115821495,250821495,1 hr 59 min,PG
Ghost Rider,Sony Pictures Entertainment (SPE),2007,115802596,228738393,1 hr 50 min,PG-13
Remember the Titans,Walt Disney Studios Motion Pictures,2000,115719751,136771683,1 hr 53 min,PG
Creed II,Metro-Goldwyn-Mayer (MGM),2018,115715889,214215889,2 hr 10 min,PG-13
District 9,TriStar Pictures,2009,115646235,210888950,1 hr 52 min,R
Unbroken,Universal Pictures,2014,115637895,161459297,2 hr 17 min,PG-13
Peter Rabbit,Sony Pictures Entertainment (SPE),2018,115253424,351496066,1 hr 35 min,PG
Girls Trip,Universal Pictures,2017,115171585,140552359,2 hr 2 min,R
Dumbo,Walt Disney Studios Motion Pictures,2019,114766307,353284621,1 hr 52 min,PG
Fifty Shades Darker,Universal Pictures,2017,114581250,381545846,1 hr 58 min,R
Dodgeball: A True Underdog Story,Twentieth Century Fox,2004,114326736,168423227,1 hr 32 min,PG-13
The Village,Walt Disney Studios Motion Pictures,2004,114197520,256697520,1 hr 48 min,PG-13
Bolt,Walt Disney Studios Motion Pictures,2008,114053579,309979994,1 hr 36 min,PG
Maleficent: Mistress of Evil,Walt Disney Studios Motion Pictures,2019,113929605,491730089,1 hr 59 min,PG
Wild Wild West,Warner Bros.,1999,113804681,222104681,1 hr 46 min,PG-13
Night at the Museum: Secret of the Tomb,Twentieth Century Fox,2014,113746621,363204635,1 hr 38 min,PG
Magic Mike,Warner Bros.,2012,113721571,167739961,1 hr 50 min,R
The Addams Family,Paramount Pictures,1991,113502426,191502426,1 hr 39 min,NA
The Patriot,Sony Pictures Entertainment (SPE),2000,113330342,215294342,2 hr 45 min,R
Bad Moms,STX Entertainment,2016,113257297,183936074,1 hr 40 min,R
The Bourne Legacy,Universal Pictures,2012,113203870,276144750,2 hr 15 min,PG-13
The Pacifier,Walt Disney Studios Motion Pictures,2005,113086868,198636868,1 hr 35 min,PG
Dr. Dolittle 2,Twentieth Century Fox,2001,112952899,176104344,1 hr 27 min,PG
It's Complicated,Universal Pictures,2009,112735375,219103655,2 hr 1 min,R
Spy Kids,Miramax,2001,112719001,147934180,1 hr 28 min,PG
Face/Off,Paramount Pictures,1997,112276146,245676146,2 hr 18 min,R
The Hangover Part III,Warner Bros.,2013,112200072,362000072,1 hr 40 min,R
Twins,Universal Pictures,1988,111938388,216614388,1 hr 47 min,NA
Spy Kids 3-D: Game Over,Dimension Films,2003,111761982,197101678,1 hr 24 min,PG
Enemy of the State,Walt Disney Studios Motion Pictures,1998,111549836,250849789,2 hr 12 min,R
Mr. Peabody & Sherman,Twentieth Century Fox,2014,111506430,275698039,1 hr 32 min,PG
The Last Samurai,Warner Bros.,2003,111127263,454627263,2 hr 34 min,R
Glass,Universal Pictures,2019,111048468,246999039,2 hr 9 min,PG-13
Spy,Twentieth Century Fox,2015,110825712,235666219,2 hr,R
Sing 2,Universal Pictures,2021,110540715,192669715,1 hr 50 min,NA
Tropic Thunder,DreamWorks,2008,110515313,195702963,1 hr 47 min,R
Godzilla: King of the Monsters,Warner Bros.,2019,110500138,386600138,2 hr 12 min,PG-13
Valentine's Day,Warner Bros.,2010,110485654,216485654,2 hr 5 min,PG-13
The Grudge,Sony Pictures Entertainment (SPE),2004,110359362,187281115,1 hr 31 min,PG-13
Fun with Dick and Jane,Sony Pictures Entertainment (SPE),2005,110332737,204681899,1 hr 30 min,PG-13
Freaky Friday,Walt Disney Studios Motion Pictures,2003,110230332,160846332,1 hr 37 min,PG
Trainwreck,Universal Pictures,2015,110212700,140795793,2 hr 5 min,R
Bedtime Stories,Walt Disney Studios Motion Pictures,2008,110101975,212874864,1 hr 39 min,PG
Scary Movie 3,Dimension Films,2003,110003217,220673217,1 hr 24 min,PG-13
Creed,Warner Bros.,2015,109767581,173567581,2 hr 13 min,PG-13
Star Trek IV: The Voyage Home,Paramount Pictures,1986,109713132,109713132,1 hr 59 min,NA
The 40-Year-Old Virgin,Universal Pictures,2005,109449237,177378645,1 hr 56 min,R
Couples Retreat,Universal Pictures,2009,109204945,171844840,1 hr 53 min,PG-13
A Time to Kill,Warner Bros.,1996,108766007,152266007,2 hr 29 min,NA
Black Hawk Down,Revolution Studios,2001,108638745,172989651,2 hr 24 min,R
Terms of Endearment,Paramount Pictures,1983,108423489,108423749,2 hr 12 min,NA
Ace Ventura: When Nature Calls,Warner Bros.,1995,108385533,212385533,1 hr 30 min,NA
The Upside,STX Entertainment,2017,108252517,125856180,2 hr 6 min,PG-13
The Princess Diaries,Walt Disney Studios Motion Pictures,2001,108248956,165335153,1 hr 55 min,G
