rank,song,artist,last-week,peak-rank,weeks-on-board,date
61,911,Wyclef Jean Featuring Mary J. Blige,64,61,4,2000-10-28
62,My Next Thirty Years,Tim McGraw,73,62,2,2000-10-28
63,Just Be A Man About It,Toni Braxton,53,32,14,2000-10-28
64,That Other Woman,Changing Faces,66,64,5,2000-10-28
65,Just Friends (Sunny),Musiq,83,65,3,2000-10-28
66,Last Resort,Papa Roach,65,60,14,2000-10-28
67,I Lost It,Kenny Chesney,75,67,2,2000-10-28
68,Beautiful Day,U2,71,68,4,2000-10-28
69,Let's Make Love,Faith Hill With Tim McGraw,54,54,12,2000-10-28
70,The Light,Common,56,44,13,2000-10-28
71,Born To Fly,Sara Evans,77,71,2,2000-10-28
72,Girls Dem Sugar,Beenie Man Featuring Mya,72,72,2,2000-10-28
73,Sleepwalker,The Wallflowers,,73,1,2000-10-28
74,My Baby You,Marc Anthony,81,70,7,2000-10-28
75,Californication,Red Hot Chili Peppers,74,69,14,2000-10-28
76,Loser,3 Doors Down,76,76,2,2000-10-28
77,Hemorrhage (In My Hands),Fuel,,77,1,2000-10-28
78,Can't Fight The Moonlight,LeAnn Rimes,78,71,8,2000-10-28
79,You Should've Told Me,Kelly Price,86,79,6,2000-10-28
80,I Will...But,SHeDAISY,70,43,16,2000-10-28
81,Country Comes To Town,Toby Keith,62,54,13,2000-10-28
82,That's The Kind Of Mood I'm In,Patty Loveless,88,82,7,2000-10-28
83,Summer Rain,Carl Thomas,82,80,6,2000-10-28
84,It Must Be Love,Alan Jackson,80,37,19,2000-10-28
85,Treat Her Like A Lady,Joe,84,63,13,2000-10-28
86,The Way I Am,Eminem,89,58,10,2000-10-28
87,Taking You Home,Don Henley,90,58,19,2000-10-28
88,You Won't Be Lonely Now,Billy Ray Cyrus,91,88,6,2000-10-28
89,What You Want,DMX Featuring Sisqo,87,49,18,2000-10-28
90,Deep Inside Of You,Third Eye Blind,79,69,9,2000-10-28
91,Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,85,76,12,2000-10-28
92,It's Always Somethin',Joe Diffie,92,57,12,2000-10-28
93,Don't Call Me Baby,Madison Avenue,98,88,17,2000-10-28
94,My Love Goes On And On,Chris Cagle,99,94,2,2000-10-28
95,Change Your Mind,Sister Hazel,93,59,16,2000-10-28
96,What Means The World To You,Cam'ron,94,94,3,2000-10-28
97,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,,52,19,2000-10-28
98,Straight Up,Chante Moore,,98,1,2000-10-28
99,Toca's Miracle,Fragma,,99,1,2000-10-28
100,Your Everything,Keith Urban,96,51,16,2000-10-28
1,Come On Over Baby (All I Want Is You),Christina Aguilera,1,1,12,2000-10-21
2,Music,Madonna,2,1,11,2000-10-21
3,With Arms Wide Open,Creed,5,3,24,2000-10-21
4,Kryptonite,3 Doors Down,4,4,29,2000-10-21
5,Most Girls,P!nk,8,5,11,2000-10-21
6,Give Me Just One Night (Una Noche),98 Degrees,3,2,10,2000-10-21
7,"Jumpin', Jumpin'",Destiny's Child,6,3,24,2000-10-21
8,Doesn't Really Matter,Janet,7,1,19,2000-10-21
9,Bag Lady,Erykah Badu,9,6,10,2000-10-21
10,Incomplete,Sisqo,10,1,18,2000-10-21
11,Wonderful,Everclear,13,11,16,2000-10-21
12,(Hot S**t) Country Grammar,Nelly,11,7,26,2000-10-21
13,Bent,matchbox twenty,12,1,26,2000-10-21
14,Shake Ya Ass,Mystikal,14,14,11,2000-10-21
15,This I Promise You,'N Sync,19,15,4,2000-10-21
16,Liar,Profyle,16,16,6,2000-10-21
17,Case Of The Ex (Whatcha Gonna Do),Mya,17,17,10,2000-10-21
18,The Way You Love Me,Faith Hill,18,18,25,2000-10-21
19,No More,Ruff Endz,15,5,17,2000-10-21
20,Gotta Tell You,Samantha Mumba,25,20,7,2000-10-21
21,She Bangs,Ricky Martin,28,21,3,2000-10-21
22,Between Me And You,Ja Rule Featuring Christina Milian,27,22,6,2000-10-21
23,Independent Women Part I,Destiny's Child,33,23,5,2000-10-21
24,I Need You,LeAnn Rimes,21,11,22,2000-10-21
25,Shape Of My Heart,Backstreet Boys,39,25,2,2000-10-21
26,Don't Think I'm Not,Kandi,26,24,12,2000-10-21
27,Bounce With Me,Lil Bow Wow Featuring Xscape,22,20,10,2000-10-21
28,You're A God,Vertical Horizon,29,28,9,2000-10-21
29,He Wasn't Man Enough,Toni Braxton,23,2,32,2000-10-21
30,Back Here,BBMak,24,13,26,2000-10-21
31,Faded,SoulDecision Featuring Thrust,31,22,16,2000-10-21
32,I Wanna Know,Joe,20,4,43,2000-10-21
33,Pinch Me,Barenaked Ladies,37,33,7,2000-10-21
34,I Wish,R. Kelly,44,34,4,2000-10-21
35,It's My Life,Bon Jovi,34,33,11,2000-10-21
36,Absolutely (Story Of A Girl),Nine Days,30,6,25,2000-10-21
37,Dance With Me,Debelah Morgan,40,37,13,2000-10-21
38,Best Of Intentions,Travis Tritt,51,38,10,2000-10-21
39,Higher,Creed,32,7,51,2000-10-21
40,Who Let The Dogs Out,Baha Men,43,40,14,2000-10-21
41,The Little Girl,John Michael Montgomery,41,41,7,2000-10-21
42,Kiss This,Aaron Tippin,45,42,9,2000-10-21
43,Try Again,Aaliyah,36,1,32,2000-10-21
44,Go On,George Strait,46,44,9,2000-10-21
45,Desert Rose,Sting Featuring Cheb Mami,42,17,24,2000-10-21
46,That's The Way,Jo Dee Messina,48,25,18,2000-10-21
47,Everything You Want,Vertical Horizon,50,1,40,2000-10-21
48,It's Gonna Be Me,'N Sync,38,1,25,2000-10-21
49,Breathe,Faith Hill,49,2,51,2000-10-21
50,E.I.,Nelly,57,50,3,2000-10-21
51,Aaron's Party (Come Get It),Aaron Carter,79,35,9,2000-10-21
52,If You're Gone,matchbox twenty,,52,1,2000-10-21
53,Just Be A Man About It,Toni Braxton,53,32,13,2000-10-21
54,Let's Make Love,Faith Hill With Tim McGraw,55,54,11,2000-10-21
55,What's Your Fantasy,Ludacris Featuring Shawnna,63,55,4,2000-10-21
56,The Light,Common,52,44,12,2000-10-21
57,Open My Heart,Yolanda Adams,58,57,9,2000-10-21
58,Feels Like Love,Vince Gill,59,58,8,2000-10-21
59,He Loves U Not,Dream,81,59,4,2000-10-21
60,There You Are,Martina McBride,64,60,7,2000-10-21
61,Bad Boyz,Shyne Featuring Barrington Levy,67,61,7,2000-10-21
62,Country Comes To Town,Toby Keith,54,54,12,2000-10-21
63,Without You,Dixie Chicks,70,63,3,2000-10-21
64,911,Wyclef Jean Featuring Mary J. Blige,74,64,3,2000-10-21
65,Last Resort,Papa Roach,60,60,13,2000-10-21
66,That Other Woman,Changing Faces,66,66,4,2000-10-21
67,Just Another Day In Paradise,Phil Vassar,76,67,4,2000-10-21
68,We Danced,Brad Paisley,71,68,2,2000-10-21
69,What About Now,Lonestar,61,30,20,2000-10-21
70,I Will...But,SHeDAISY,56,43,15,2000-10-21
71,Beautiful Day,U2,73,71,3,2000-10-21
72,Girls Dem Sugar,Beenie Man Featuring Mya,,72,1,2000-10-21
73,My Next Thirty Years,Tim McGraw,,73,1,2000-10-21
74,Californication,Red Hot Chili Peppers,69,69,13,2000-10-21
75,I Lost It,Kenny Chesney,,75,1,2000-10-21
76,Loser,3 Doors Down,,76,1,2000-10-21
77,Born To Fly,Sara Evans,,77,1,2000-10-21
78,Can't Fight The Moonlight,LeAnn Rimes,99,71,7,2000-10-21
79,Deep Inside Of You,Third Eye Blind,72,69,8,2000-10-21
80,It Must Be Love,Alan Jackson,75,37,18,2000-10-21
81,My Baby You,Marc Anthony,82,70,6,2000-10-21
82,Summer Rain,Carl Thomas,80,80,5,2000-10-21
83,Just Friends (Sunny),Musiq,89,83,2,2000-10-21
84,Treat Her Like A Lady,Joe,78,63,12,2000-10-21
85,Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,77,76,11,2000-10-21
86,You Should've Told Me,Kelly Price,87,86,5,2000-10-21
87,What You Want,DMX Featuring Sisqo,65,49,17,2000-10-21
88,That's The Kind Of Mood I'm In,Patty Loveless,88,88,6,2000-10-21
89,The Way I Am,Eminem,62,58,9,2000-10-21
90,Taking You Home,Don Henley,83,58,18,2000-10-21
91,You Won't Be Lonely Now,Billy Ray Cyrus,92,91,5,2000-10-21
92,It's Always Somethin',Joe Diffie,85,57,11,2000-10-21
93,Change Your Mind,Sister Hazel,91,59,15,2000-10-21
94,What Means The World To You,Cam'ron,94,94,2,2000-10-21
95,Callin' Me,Lil' Zane Featuring 112,84,21,13,2000-10-21
96,Your Everything,Keith Urban,90,51,15,2000-10-21
97,One Voice,Billy Gilman,95,38,19,2000-10-21
98,Don't Call Me Baby,Madison Avenue,93,88,16,2000-10-21
99,My Love Goes On And On,Chris Cagle,,99,1,2000-10-21
100,Lucky,Britney Spears,86,23,11,2000-10-21
1,Come On Over Baby (All I Want Is You),Christina Aguilera,11,1,11,2000-10-14
2,Music,Madonna,1,1,10,2000-10-14
3,Give Me Just One Night (Una Noche),98 Degrees,2,2,9,2000-10-14
4,Kryptonite,3 Doors Down,5,4,28,2000-10-14
5,With Arms Wide Open,Creed,7,5,23,2000-10-14
6,"Jumpin', Jumpin'",Destiny's Child,4,3,23,2000-10-14
7,Doesn't Really Matter,Janet,3,1,18,2000-10-14
8,Most Girls,P!nk,12,8,10,2000-10-14
9,Bag Lady,Erykah Badu,6,6,9,2000-10-14
10,Incomplete,Sisqo,8,1,17,2000-10-14
11,(Hot S**t) Country Grammar,Nelly,10,7,25,2000-10-14
12,Bent,matchbox twenty,9,1,25,2000-10-14
13,Wonderful,Everclear,13,11,15,2000-10-14
14,Shake Ya Ass,Mystikal,15,14,10,2000-10-14
15,No More,Ruff Endz,14,5,16,2000-10-14
16,Liar,Profyle,17,16,5,2000-10-14
17,Case Of The Ex (Whatcha Gonna Do),Mya,18,17,9,2000-10-14
18,The Way You Love Me,Faith Hill,23,18,24,2000-10-14
19,This I Promise You,'N Sync,31,19,3,2000-10-14
20,I Wanna Know,Joe,16,4,42,2000-10-14
21,I Need You,LeAnn Rimes,21,11,21,2000-10-14
22,Bounce With Me,Lil Bow Wow Featuring Xscape,20,20,9,2000-10-14
23,He Wasn't Man Enough,Toni Braxton,19,2,31,2000-10-14
24,Back Here,BBMak,22,13,25,2000-10-14
25,Gotta Tell You,Samantha Mumba,39,25,6,2000-10-14
26,Don't Think I'm Not,Kandi,24,24,11,2000-10-14
27,Between Me And You,Ja Rule Featuring Christina Milian,37,27,5,2000-10-14
28,She Bangs,Ricky Martin,38,28,2,2000-10-14
29,You're A God,Vertical Horizon,30,29,8,2000-10-14
30,Absolutely (Story Of A Girl),Nine Days,26,6,24,2000-10-14
31,Faded,SoulDecision Featuring Thrust,27,22,15,2000-10-14
32,Higher,Creed,29,7,50,2000-10-14
33,Independent Women Part I,Destiny's Child,49,33,4,2000-10-14
34,It's My Life,Bon Jovi,34,33,10,2000-10-14
35,Wifey,Next,25,7,21,2000-10-14
36,Try Again,Aaliyah,33,1,31,2000-10-14
37,Pinch Me,Barenaked Ladies,51,37,6,2000-10-14
38,It's Gonna Be Me,'N Sync,28,1,24,2000-10-14
39,Shape Of My Heart,Backstreet Boys,,39,1,2000-10-14
40,Dance With Me,Debelah Morgan,41,40,12,2000-10-14
41,The Little Girl,John Michael Montgomery,45,41,6,2000-10-14
42,Desert Rose,Sting Featuring Cheb Mami,32,17,23,2000-10-14
43,Who Let The Dogs Out,Baha Men,53,43,13,2000-10-14
44,I Wish,R. Kelly,54,44,3,2000-10-14
45,Kiss This,Aaron Tippin,47,45,8,2000-10-14
46,Go On,George Strait,46,46,8,2000-10-14
47,Let's Get Married,Jagged Edge,36,11,24,2000-10-14
48,That's The Way,Jo Dee Messina,35,25,17,2000-10-14
49,Breathe,Faith Hill,42,2,50,2000-10-14
50,Everything You Want,Vertical Horizon,40,1,39,2000-10-14
51,Best Of Intentions,Travis Tritt,48,48,9,2000-10-14
52,The Light,Common,56,44,11,2000-10-14
53,Just Be A Man About It,Toni Braxton,50,32,12,2000-10-14
54,Country Comes To Town,Toby Keith,55,54,11,2000-10-14
55,Let's Make Love,Faith Hill With Tim McGraw,57,55,10,2000-10-14
56,I Will...But,SHeDAISY,52,43,14,2000-10-14
57,E.I.,Nelly,71,57,2,2000-10-14
58,Open My Heart,Yolanda Adams,61,58,8,2000-10-14
59,Feels Like Love,Vince Gill,65,59,7,2000-10-14
60,Last Resort,Papa Roach,63,60,12,2000-10-14
61,What About Now,Lonestar,60,30,19,2000-10-14
62,The Way I Am,Eminem,59,58,8,2000-10-14
63,What's Your Fantasy,Ludacris Featuring Shawnna,83,63,3,2000-10-14
64,There You Are,Martina McBride,73,64,6,2000-10-14
65,What You Want,DMX Featuring Sisqo,62,49,16,2000-10-14
66,That Other Woman,Changing Faces,72,66,3,2000-10-14
67,Bad Boyz,Shyne Featuring Barrington Levy,82,67,6,2000-10-14
68,What'Chu Like,Da Brat Featuring Tyrese,68,26,20,2000-10-14
69,Californication,Red Hot Chili Peppers,74,69,12,2000-10-14
70,Without You,Dixie Chicks,80,70,2,2000-10-14
71,We Danced,Brad Paisley,,71,1,2000-10-14
72,Deep Inside Of You,Third Eye Blind,69,69,7,2000-10-14
73,Beautiful Day,U2,75,73,2,2000-10-14
74,911,Wyclef Jean Featuring Mary J. Blige,77,74,2,2000-10-14
75,It Must Be Love,Alan Jackson,64,37,17,2000-10-14
76,Just Another Day In Paradise,Phil Vassar,81,76,3,2000-10-14
77,Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,76,76,10,2000-10-14
78,Treat Her Like A Lady,Joe,79,63,11,2000-10-14
79,Aaron's Party (Come Get It),Aaron Carter,43,35,8,2000-10-14
80,Summer Rain,Carl Thomas,86,80,4,2000-10-14
81,He Loves U Not,Dream,92,81,3,2000-10-14
82,My Baby You,Marc Anthony,70,70,5,2000-10-14
83,Taking You Home,Don Henley,87,58,17,2000-10-14
84,Callin' Me,Lil' Zane Featuring 112,67,21,12,2000-10-14
85,It's Always Somethin',Joe Diffie,78,57,10,2000-10-14
86,Lucky,Britney Spears,66,23,10,2000-10-14
87,You Should've Told Me,Kelly Price,91,87,4,2000-10-14
88,That's The Kind Of Mood I'm In,Patty Loveless,93,88,5,2000-10-14
89,Just Friends (Sunny),Musiq,,89,1,2000-10-14
90,Your Everything,Keith Urban,84,51,14,2000-10-14
91,Change Your Mind,Sister Hazel,94,59,14,2000-10-14
92,You Won't Be Lonely Now,Billy Ray Cyrus,97,92,4,2000-10-14
93,Don't Call Me Baby,Madison Avenue,95,88,15,2000-10-14
94,What Means The World To You,Cam'ron,,94,1,2000-10-14
95,One Voice,Billy Gilman,85,38,18,2000-10-14
96,I Think I'm In Love With You,Jessica Simpson,89,21,16,2000-10-14
97,Can't Go For That,Tamia,88,84,5,2000-10-14
98,You'll Always Be Loved By Me,Brooks & Dunn,100,55,19,2000-10-14
99,Can't Fight The Moonlight,LeAnn Rimes,96,71,6,2000-10-14
100,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,98,52,18,2000-10-14
1,Music,Madonna,1,1,9,2000-10-07
2,Give Me Just One Night (Una Noche),98 Degrees,2,2,8,2000-10-07
3,Doesn't Really Matter,Janet,3,1,17,2000-10-07
4,"Jumpin', Jumpin'",Destiny's Child,4,3,22,2000-10-07
5,Kryptonite,3 Doors Down,5,5,27,2000-10-07
6,Bag Lady,Erykah Badu,34,6,8,2000-10-07
7,With Arms Wide Open,Creed,10,7,22,2000-10-07
8,Incomplete,Sisqo,7,1,16,2000-10-07
9,Bent,matchbox twenty,6,1,24,2000-10-07
10,(Hot S**t) Country Grammar,Nelly,8,7,24,2000-10-07
11,Come On Over Baby (All I Want Is You),Christina Aguilera,9,9,10,2000-10-07
12,Most Girls,P!nk,13,12,9,2000-10-07
13,Wonderful,Everclear,11,11,14,2000-10-07
14,No More,Ruff Endz,12,5,15,2000-10-07
15,Shake Ya Ass,Mystikal,15,15,9,2000-10-07
16,I Wanna Know,Joe,14,4,41,2000-10-07
17,Liar,Profyle,25,17,4,2000-10-07
18,Case Of The Ex (Whatcha Gonna Do),Mya,24,18,8,2000-10-07
19,He Wasn't Man Enough,Toni Braxton,17,2,30,2000-10-07
20,Bounce With Me,Lil Bow Wow Featuring Xscape,20,20,8,2000-10-07
21,I Need You,LeAnn Rimes,19,11,20,2000-10-07
22,Back Here,BBMak,16,13,24,2000-10-07
23,The Way You Love Me,Faith Hill,42,23,23,2000-10-07
24,Don't Think I'm Not,Kandi,28,24,10,2000-10-07
25,Wifey,Next,21,7,20,2000-10-07
26,Absolutely (Story Of A Girl),Nine Days,18,6,23,2000-10-07
27,Faded,SoulDecision Featuring Thrust,27,22,14,2000-10-07
28,It's Gonna Be Me,'N Sync,23,1,23,2000-10-07
29,Higher,Creed,26,7,49,2000-10-07
30,You're A God,Vertical Horizon,31,30,7,2000-10-07
31,This I Promise You,'N Sync,68,31,2,2000-10-07
32,Desert Rose,Sting Featuring Cheb Mami,30,17,22,2000-10-07
33,Try Again,Aaliyah,22,1,30,2000-10-07
34,It's My Life,Bon Jovi,33,33,9,2000-10-07
35,That's The Way,Jo Dee Messina,32,25,16,2000-10-07
36,Let's Get Married,Jagged Edge,29,11,23,2000-10-07
37,Between Me And You,Ja Rule Featuring Christina Milian,61,37,4,2000-10-07
38,She Bangs,Ricky Martin,,38,1,2000-10-07
39,Gotta Tell You,Samantha Mumba,49,39,5,2000-10-07
40,Everything You Want,Vertical Horizon,36,1,38,2000-10-07
41,Dance With Me,Debelah Morgan,41,41,11,2000-10-07
42,Breathe,Faith Hill,39,2,49,2000-10-07
43,Aaron's Party (Come Get It),Aaron Carter,37,35,7,2000-10-07
44,There You Go,P!nk,46,7,32,2000-10-07
45,The Little Girl,John Michael Montgomery,56,45,5,2000-10-07
46,Go On,George Strait,48,46,7,2000-10-07
47,Kiss This,Aaron Tippin,47,47,7,2000-10-07
48,Best Of Intentions,Travis Tritt,50,48,8,2000-10-07
49,Independent Women Part I,Destiny's Child,63,49,3,2000-10-07
50,Just Be A Man About It,Toni Braxton,38,32,11,2000-10-07
51,Pinch Me,Barenaked Ladies,45,45,5,2000-10-07
52,I Will...But,SHeDAISY,43,43,13,2000-10-07
53,Who Let The Dogs Out,Baha Men,53,53,12,2000-10-07
54,I Wish,R. Kelly,71,54,2,2000-10-07
55,Country Comes To Town,Toby Keith,55,55,10,2000-10-07
56,The Light,Common,51,44,10,2000-10-07
57,Let's Make Love,Faith Hill With Tim McGraw,60,57,9,2000-10-07
58,The Next Episode,Dr. Dre Featuring Snoop Dogg,52,23,20,2000-10-07
59,The Way I Am,Eminem,58,58,7,2000-10-07
60,What About Now,Lonestar,54,30,18,2000-10-07
61,Open My Heart,Yolanda Adams,67,61,7,2000-10-07
62,What You Want,DMX Featuring Sisqo,57,49,15,2000-10-07
63,Last Resort,Papa Roach,64,61,11,2000-10-07
64,It Must Be Love,Alan Jackson,62,37,16,2000-10-07
65,Feels Like Love,Vince Gill,73,65,6,2000-10-07
66,Lucky,Britney Spears,40,23,9,2000-10-07
67,Callin' Me,Lil' Zane Featuring 112,59,21,11,2000-10-07
68,What'Chu Like,Da Brat Featuring Tyrese,65,26,19,2000-10-07
69,Deep Inside Of You,Third Eye Blind,70,69,6,2000-10-07
70,My Baby You,Marc Anthony,76,70,4,2000-10-07
71,E.I.,Nelly,,71,1,2000-10-07
72,That Other Woman,Changing Faces,80,72,2,2000-10-07
73,There You Are,Martina McBride,75,73,5,2000-10-07
74,Californication,Red Hot Chili Peppers,79,72,11,2000-10-07
75,Beautiful Day,U2,,75,1,2000-10-07
76,Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,78,76,9,2000-10-07
77,911,Wyclef Jean Featuring Mary J. Blige,,77,1,2000-10-07
78,It's Always Somethin',Joe Diffie,69,57,9,2000-10-07
79,Treat Her Like A Lady,Joe,72,63,10,2000-10-07
80,Without You,Dixie Chicks,,80,1,2000-10-07
81,Just Another Day In Paradise,Phil Vassar,81,81,2,2000-10-07
82,Bad Boyz,Shyne Featuring Barrington Levy,90,82,5,2000-10-07
83,What's Your Fantasy,Ludacris Featuring Shawnna,89,83,2,2000-10-07
84,Your Everything,Keith Urban,66,51,13,2000-10-07
85,One Voice,Billy Gilman,77,38,17,2000-10-07
86,Summer Rain,Carl Thomas,82,82,3,2000-10-07
87,Taking You Home,Don Henley,85,58,16,2000-10-07
88,Can't Go For That,Tamia,84,84,4,2000-10-07
89,I Think I'm In Love With You,Jessica Simpson,74,21,15,2000-10-07
90,Whatever,Ideal Featuring Lil' Mo,92,47,18,2000-10-07
91,You Should've Told Me,Kelly Price,91,91,3,2000-10-07
92,He Loves U Not,Dream,99,92,2,2000-10-07
93,That's The Kind Of Mood I'm In,Patty Loveless,93,93,4,2000-10-07
94,Change Your Mind,Sister Hazel,87,59,13,2000-10-07
95,Don't Call Me Baby,Madison Avenue,88,88,14,2000-10-07
96,Can't Fight The Moonlight,LeAnn Rimes,83,71,5,2000-10-07
97,You Won't Be Lonely Now,Billy Ray Cyrus,97,97,3,2000-10-07
98,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,95,52,17,2000-10-07
99,I Wanna Be With You,Mandy Moore,94,24,17,2000-10-07
100,You'll Always Be Loved By Me,Brooks & Dunn,86,55,18,2000-10-07
1,Music,Madonna,1,1,8,2000-09-30
2,Give Me Just One Night (Una Noche),98 Degrees,19,2,7,2000-09-30
3,Doesn't Really Matter,Janet,2,1,16,2000-09-30
4,"Jumpin', Jumpin'",Destiny's Child,3,3,21,2000-09-30
5,Kryptonite,3 Doors Down,6,5,26,2000-09-30
6,Bent,matchbox twenty,4,1,23,2000-09-30
7,Incomplete,Sisqo,5,1,15,2000-09-30
8,(Hot S**t) Country Grammar,Nelly,7,7,23,2000-09-30
9,Come On Over Baby (All I Want Is You),Christina Aguilera,9,9,9,2000-09-30
10,With Arms Wide Open,Creed,11,10,21,2000-09-30
11,Wonderful,Everclear,25,11,13,2000-09-30
12,No More,Ruff Endz,10,5,14,2000-09-30
13,Most Girls,P!nk,15,13,8,2000-09-30
14,I Wanna Know,Joe,8,4,40,2000-09-30
15,Shake Ya Ass,Mystikal,22,15,8,2000-09-30
16,Back Here,BBMak,17,13,23,2000-09-30
17,He Wasn't Man Enough,Toni Braxton,13,2,29,2000-09-30
18,Absolutely (Story Of A Girl),Nine Days,14,6,22,2000-09-30
19,I Need You,LeAnn Rimes,16,11,19,2000-09-30
20,Bounce With Me,Lil Bow Wow Featuring Xscape,20,20,7,2000-09-30
21,Wifey,Next,12,7,19,2000-09-30
22,Try Again,Aaliyah,23,1,29,2000-09-30
23,It's Gonna Be Me,'N Sync,18,1,22,2000-09-30
24,Case Of The Ex (Whatcha Gonna Do),Mya,31,24,7,2000-09-30
25,Liar,Profyle,32,25,3,2000-09-30
26,Higher,Creed,21,7,48,2000-09-30
27,Faded,SoulDecision Featuring Thrust,27,22,13,2000-09-30
28,Don't Think I'm Not,Kandi,33,28,9,2000-09-30
29,Let's Get Married,Jagged Edge,24,11,22,2000-09-30
30,Desert Rose,Sting Featuring Cheb Mami,26,17,21,2000-09-30
31,You're A God,Vertical Horizon,37,31,6,2000-09-30
32,That's The Way,Jo Dee Messina,28,25,15,2000-09-30
33,It's My Life,Bon Jovi,36,33,8,2000-09-30
34,Bag Lady,Erykah Badu,42,34,7,2000-09-30
35,Purest Of Pain (A Puro Dolor),Son By Four,39,26,26,2000-09-30
36,Everything You Want,Vertical Horizon,29,1,37,2000-09-30
37,Aaron's Party (Come Get It),Aaron Carter,35,35,6,2000-09-30
38,Just Be A Man About It,Toni Braxton,34,32,10,2000-09-30
39,Breathe,Faith Hill,38,2,48,2000-09-30
40,Lucky,Britney Spears,30,23,8,2000-09-30
41,Dance With Me,Debelah Morgan,48,41,10,2000-09-30
42,The Way You Love Me,Faith Hill,46,35,22,2000-09-30
43,I Will...But,SHeDAISY,44,43,12,2000-09-30
44,You Sang To Me,Marc Anthony,40,2,32,2000-09-30
45,Pinch Me,Barenaked Ladies,69,45,4,2000-09-30
46,There You Go,P!nk,41,7,31,2000-09-30
47,Kiss This,Aaron Tippin,52,47,6,2000-09-30
48,Go On,George Strait,53,48,6,2000-09-30
49,Gotta Tell You,Samantha Mumba,65,49,4,2000-09-30
50,Best Of Intentions,Travis Tritt,56,50,7,2000-09-30
51,The Light,Common,51,44,9,2000-09-30
52,The Next Episode,Dr. Dre Featuring Snoop Dogg,50,23,19,2000-09-30
53,Who Let The Dogs Out,Baha Men,54,53,11,2000-09-30
54,What About Now,Lonestar,43,30,17,2000-09-30
55,Country Comes To Town,Toby Keith,58,55,9,2000-09-30
56,The Little Girl,John Michael Montgomery,64,56,4,2000-09-30
57,What You Want,DMX Featuring Sisqo,49,49,14,2000-09-30
58,The Way I Am,Eminem,59,58,6,2000-09-30
59,Callin' Me,Lil' Zane Featuring 112,45,21,10,2000-09-30
60,Let's Make Love,Faith Hill With Tim McGraw,60,60,8,2000-09-30
61,Between Me And You,Ja Rule Featuring Christina Milian,74,61,3,2000-09-30
62,It Must Be Love,Alan Jackson,47,37,15,2000-09-30
63,Independent Women Part I,Destiny's Child,78,63,2,2000-09-30
64,Last Resort,Papa Roach,66,61,10,2000-09-30
65,What'Chu Like,Da Brat Featuring Tyrese,62,26,18,2000-09-30
66,Your Everything,Keith Urban,55,51,12,2000-09-30
67,Open My Heart,Yolanda Adams,68,67,6,2000-09-30
68,This I Promise You,'N Sync,,68,1,2000-09-30
69,It's Always Somethin',Joe Diffie,63,57,8,2000-09-30
70,Deep Inside Of You,Third Eye Blind,70,70,5,2000-09-30
71,I Wish,R. Kelly,,71,1,2000-09-30
72,Treat Her Like A Lady,Joe,67,63,9,2000-09-30
73,Feels Like Love,Vince Gill,73,73,5,2000-09-30
74,I Think I'm In Love With You,Jessica Simpson,57,21,14,2000-09-30
75,There You Are,Martina McBride,75,75,4,2000-09-30
76,My Baby You,Marc Anthony,76,76,3,2000-09-30
77,One Voice,Billy Gilman,61,38,16,2000-09-30
78,Hey Papi,Jay-Z Featuring Memphis Bleek & Amil,80,78,8,2000-09-30
79,Californication,Red Hot Chili Peppers,85,72,10,2000-09-30
80,That Other Woman,Changing Faces,,80,1,2000-09-30
81,Just Another Day In Paradise,Phil Vassar,,81,1,2000-09-30
82,Summer Rain,Carl Thomas,82,82,2,2000-09-30
83,Can't Fight The Moonlight,LeAnn Rimes,79,71,4,2000-09-30
84,Can't Go For That,Tamia,86,84,3,2000-09-30
85,Taking You Home,Don Henley,83,58,15,2000-09-30
86,You'll Always Be Loved By Me,Brooks & Dunn,71,55,17,2000-09-30
87,Change Your Mind,Sister Hazel,84,59,12,2000-09-30
88,Don't Call Me Baby,Madison Avenue,88,88,13,2000-09-30
89,What's Your Fantasy,Ludacris Featuring Shawnna,,89,1,2000-09-30
90,Bad Boyz,Shyne Featuring Barrington Levy,90,87,4,2000-09-30
91,You Should've Told Me,Kelly Price,91,91,2,2000-09-30
92,Whatever,Ideal Featuring Lil' Mo,81,47,17,2000-09-30
93,That's The Kind Of Mood I'm In,Patty Loveless,93,93,3,2000-09-30
94,I Wanna Be With You,Mandy Moore,77,24,16,2000-09-30
95,Could I Have This Kiss Forever,Whitney Houston & Enrique Iglesias,87,52,16,2000-09-30
96,I Will Love Again,Lara Fabian,89,32,17,2000-09-30
97,You Won't Be Lonely Now,Billy Ray Cyrus,97,97,2,2000-09-30
98,Sour Girl,Stone Temple Pilots,94,78,13,2000-09-30
99,He Loves U Not,Dream,,99,1,2000-09-30
100,Pull Over,Trina,96,93,4,2000-09-30
1,Music,Madonna,1,1,7,2000-09-23
2,Doesn't Really Matter,Janet,2,1,15,2000-09-23
3,"Jumpin', Jumpin'",Destiny's Child,3,3,20,2000-09-23
